Country,Aedes_presence (Ae. aegypti / albopictus),DENV_circulation,DENV_vaccine_access,CHIKV_circulation,CHIKV_vaccine_access,YFV_circulation,YFV_vaccine_access,Culex_presence (Culex tritaeniorhynchus complex),JEV_circulation,JEV_vaccine_access
Afghanistan,Present,Endemic / established transmission,Not licensed / not available,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Limited / uncertain,Imported / travel-related cases only,Traveler access only (limited availability)
Albania,Limited / sporadic,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Algeria,Limited / sporadic,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Andorra,Absent,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Angola,Present,Sporadic outbreaks / introduced,Not licensed / not available,Sporadic outbreaks / introduced,Not licensed / not available,Endemic / established transmission,Routine (public program),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Antigua and Barbuda,Present,Endemic / established transmission,Not licensed / not available,Sporadic outbreaks / introduced,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Argentina,Present,Endemic / established transmission,Licensed & available (private/market),Sporadic outbreaks / introduced,Not licensed / not available,Endemic / established transmission,Routine (public program),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Armenia,Limited / sporadic,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Limited / uncertain,Imported / travel-related cases only,Traveler access only (limited availability)
Australia,Present,Autochthonous transmission documented (non-endemic),Licensed & available (private/market),Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Present,Endemic / established transmission,Licensed & available (private/market)
Austria,Present,Imported / travel-related cases only,Licensed & available (private/market),Imported / travel-related cases only,Licensed & available (private/market),Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Azerbaijan,Limited / sporadic,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Limited / uncertain,Imported / travel-related cases only,Traveler access only (limited availability)
Bahamas,Present,Endemic / established transmission,Not licensed / not available,Sporadic outbreaks / introduced,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Bahrain,Limited / sporadic,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Bangladesh,Present,Endemic / established transmission,Not licensed / not available,Sporadic outbreaks / introduced,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Present,Endemic / established transmission,Licensed & available (private/market)
Barbados,Present,Endemic / established transmission,Not licensed / not available,Sporadic outbreaks / introduced,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Belarus,Absent,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Belgium,Present,Imported / travel-related cases only,Licensed & available (private/market),Imported / travel-related cases only,Licensed & available (private/market),Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Belize,Present,Endemic / established transmission,Not licensed / not available,Sporadic outbreaks / introduced,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Benin,Present,Sporadic outbreaks / introduced,Not licensed / not available,Sporadic outbreaks / introduced,Not licensed / not available,Endemic / established transmission,Routine (public program),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Bhutan,Present,Endemic / established transmission,Not licensed / not available,Sporadic outbreaks / introduced,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Present,Endemic / established transmission,Licensed & available (private/market)
"Bolivia, Plurinational State of",Present,Endemic / established transmission,Not licensed / not available,Sporadic outbreaks / introduced,Not licensed / not available,Endemic / established transmission,Routine (public program),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Bosnia and Herzegovina,Limited / sporadic,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Botswana,Limited / sporadic,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Brazil,Present,Endemic / established transmission,Routine (public program),Endemic / established transmission,Licensed & available (private/market),Endemic / established transmission,Routine (public program),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Brunei Darussalam,Present,Endemic / established transmission,Not licensed / not available,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Present,Endemic / established transmission,Licensed & available (private/market)
Bulgaria,Limited / sporadic,Imported / travel-related cases only,Licensed & available (private/market),Imported / travel-related cases only,Licensed & available (private/market),Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Burkina Faso,Present,Endemic / established transmission,Not licensed / not available,Imported / travel-related cases only,Not licensed / not available,Endemic / established transmission,Routine (public program),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Burundi,Present,Imported / travel-related cases only,Not licensed / not available,Sporadic outbreaks / introduced,Not licensed / not available,Endemic / established transmission,Routine (public program),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Cabo Verde,Present,Sporadic outbreaks / introduced,Not licensed / not available,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Cambodia,Present,Endemic / established transmission,Not licensed / not available,Sporadic outbreaks / introduced,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Present,Endemic / established transmission,Licensed & available (private/market)
Cameroon,Present,Endemic / established transmission,Not licensed / not available,Sporadic outbreaks / introduced,Not licensed / not available,Endemic / established transmission,Routine (public program),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Canada,Limited / sporadic,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Licensed & available (private/market),Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Central African Republic,Present,Sporadic outbreaks / introduced,Not licensed / not available,Sporadic outbreaks / introduced,Not licensed / not available,Endemic / established transmission,Routine (public program),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Chad,Present,Sporadic outbreaks / introduced,Not licensed / not available,Sporadic outbreaks / introduced,Not licensed / not available,Endemic / established transmission,Routine (public program),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Chile,Limited / sporadic,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
China,Present,Endemic / established transmission,Not licensed / not available,Sporadic outbreaks / introduced,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Present,Endemic / established transmission,Licensed & available (private/market)
Colombia,Present,Endemic / established transmission,Licensed & available (private/market),Endemic / established transmission,Not licensed / not available,Endemic / established transmission,Routine (public program),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Comoros,Present,Sporadic outbreaks / introduced,Not licensed / not available,Sporadic outbreaks / introduced,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Congo,Present,Imported / travel-related cases only,Not licensed / not available,Sporadic outbreaks / introduced,Not licensed / not available,Endemic / established transmission,Routine (public program),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
"Congo, The Democratic Republic of the",Present,Sporadic outbreaks / introduced,Not licensed / not available,Imported / travel-related cases only,Not licensed / not available,Endemic / established transmission,Routine (public program),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Costa Rica,Present,Endemic / established transmission,Licensed & available (private/market),Sporadic outbreaks / introduced,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Croatia,Present,Autochthonous transmission documented (non-endemic),Licensed & available (private/market),Imported / travel-related cases only,Licensed & available (private/market),Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Cuba,Present,Endemic / established transmission,Not licensed / not available,Endemic / established transmission,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Cyprus,Present,Imported / travel-related cases only,Licensed & available (private/market),Imported / travel-related cases only,Licensed & available (private/market),Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Czechia,Limited / sporadic,Imported / travel-related cases only,Licensed & available (private/market),Imported / travel-related cases only,Licensed & available (private/market),Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Côte d'Ivoire,Present,Endemic / established transmission,Not licensed / not available,Imported / travel-related cases only,Not licensed / not available,Endemic / established transmission,Routine (public program),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Denmark,Limited / sporadic,Imported / travel-related cases only,Licensed & available (private/market),Imported / travel-related cases only,Licensed & available (private/market),Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Djibouti,Present,Sporadic outbreaks / introduced,Not licensed / not available,Sporadic outbreaks / introduced,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Dominica,Present,Endemic / established transmission,Not licensed / not available,Sporadic outbreaks / introduced,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Dominican Republic,Present,Endemic / established transmission,Not licensed / not available,Sporadic outbreaks / introduced,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Ecuador,Present,Endemic / established transmission,Not licensed / not available,Sporadic outbreaks / introduced,Not licensed / not available,Endemic / established transmission,Routine (public program),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Egypt,Present,Endemic / established transmission,Not licensed / not available,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
El Salvador,Present,Endemic / established transmission,Licensed & available (private/market),Sporadic outbreaks / introduced,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Equatorial Guinea,Present,Sporadic outbreaks / introduced,Not licensed / not available,Sporadic outbreaks / introduced,Not licensed / not available,Endemic / established transmission,Routine (public program),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Eritrea,Present,Endemic / established transmission,Not licensed / not available,Sporadic outbreaks / introduced,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Estonia,Absent,Imported / travel-related cases only,Licensed & available (private/market),Imported / travel-related cases only,Licensed & available (private/market),Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Eswatini,Limited / sporadic,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Ethiopia,Present,Endemic / established transmission,Not licensed / not available,Sporadic outbreaks / introduced,Not licensed / not available,Endemic / established transmission,Routine (public program),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Fiji,Present,Endemic / established transmission,Not licensed / not available,Sporadic outbreaks / introduced,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Limited / uncertain,Imported / travel-related cases only,Traveler access only (limited availability)
Finland,Absent,Imported / travel-related cases only,Licensed & available (private/market),Imported / travel-related cases only,Licensed & available (private/market),Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
France,Present,Autochthonous transmission documented (non-endemic),Licensed & available (private/market),Autochthonous transmission documented (non-endemic),Licensed & available (private/market),Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Gabon,Present,Endemic / established transmission,Not licensed / not available,Sporadic outbreaks / introduced,Not licensed / not available,Endemic / established transmission,Routine (public program),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Gambia,Present,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Not licensed / not available,Endemic / established transmission,Routine (public program),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Georgia,Limited / sporadic,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Limited / uncertain,Imported / travel-related cases only,Traveler access only (limited availability)
Germany,Present,Imported / travel-related cases only,Licensed & available (private/market),Imported / travel-related cases only,Licensed & available (private/market),Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Ghana,Present,Sporadic outbreaks / introduced,Not licensed / not available,Imported / travel-related cases only,Not licensed / not available,Endemic / established transmission,Routine (public program),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Greece,Present,Imported / travel-related cases only,Licensed & available (private/market),Imported / travel-related cases only,Licensed & available (private/market),Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Grenada,Present,Endemic / established transmission,Not licensed / not available,Sporadic outbreaks / introduced,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Guatemala,Present,Endemic / established transmission,Licensed & available (private/market),Sporadic outbreaks / introduced,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Guinea,Present,Sporadic outbreaks / introduced,Not licensed / not available,Sporadic outbreaks / introduced,Not licensed / not available,Endemic / established transmission,Routine (public program),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Guinea-Bissau,Present,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Not licensed / not available,Endemic / established transmission,Routine (public program),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Guyana,Present,Endemic / established transmission,Not licensed / not available,Sporadic outbreaks / introduced,Not licensed / not available,Endemic / established transmission,Routine (public program),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Haiti,Present,Endemic / established transmission,Not licensed / not available,Sporadic outbreaks / introduced,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Holy See (Vatican City State),Limited / sporadic,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Honduras,Present,Endemic / established transmission,Not licensed / not available,Sporadic outbreaks / introduced,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Hungary,Present,Imported / travel-related cases only,Licensed & available (private/market),Imported / travel-related cases only,Licensed & available (private/market),Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Iceland,Absent,Imported / travel-related cases only,Licensed & available (private/market),Imported / travel-related cases only,Licensed & available (private/market),Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
