Country,Aedes_presence (Ae. aegypti / albopictus),DENV_circulation,DENV_vaccine_access,CHIKV_circulation,CHIKV_vaccine_access,YFV_circulation,YFV_vaccine_access,Culex_presence (Culex tritaeniorhynchus complex),JEV_circulation,JEV_vaccine_access
Malaysia,Present,Endemic / established transmission,Licensed & available (private/market),Sporadic outbreaks / introduced,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Present,Endemic / established transmission,Licensed & available (private/market)
Maldives,Present,Endemic / established transmission,Not licensed / not available,Sporadic outbreaks / introduced,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Mali,Present,Sporadic outbreaks / introduced,Not licensed / not available,Sporadic outbreaks / introduced,Not licensed / not available,Endemic / established transmission,Routine (public program),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Malta,Present,Imported / travel-related cases only,Licensed & available (private/market),Imported / travel-related cases only,Licensed & available (private/market),Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Marshall Islands,Present,Sporadic outbreaks / introduced,Licensed & available (private/market),Sporadic outbreaks / introduced,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Limited / uncertain,Imported / travel-related cases only,Traveler access only (limited availability)
Mauritania,Present,Sporadic outbreaks / introduced,Not licensed / not available,Imported / travel-related cases only,Not licensed / not available,Endemic / established transmission,Routine (public program),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Mauritius,Present,Endemic / established transmission,Not licensed / not available,Sporadic outbreaks / introduced,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
Mexico,Present,Endemic / established transmission,Licensed & available (private/market),Endemic / established transmission,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
"Micronesia, Federated States of",Present,Endemic / established transmission,Licensed & available (private/market),Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Limited / uncertain,Imported / travel-related cases only,Traveler access only (limited availability)
"Moldova, Republic of",Limited / sporadic,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Not licensed / not available,Imported / travel-related cases only,Traveler access only (limited availability),Absent,Imported / travel-related cases only,Traveler access only (limited availability)
